INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,NPCURL,SCH_DEG,HCM2,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LOCALE,LOCALE2,LATITUDE,LONGITUDE,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,MN_EARN_WNE_P10,MD_EARN_WNE_P10,SCHTYPE
Los Angeles Trade Technical College,Los Angeles,CA,90015-4181,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.lattc.edu,www.lattc.edu/services/financial-aid/determining-financial-need,1,0,1,1,1,2,1,6,8,11,NULL,34.031907,-118.269447,14183,NULL,1220,7746,NULL,600,34200,28800,1
Los Angeles Valley College,Valley Glen,CA,91401-4096,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.lavc.edu,https://misweb.cccco.edu/npc/747/npcalc.htm,1,0,1,1,2,2,1,6,8,11,NULL,34.175165,-118.421734,15576,NULL,1220,7746,NULL,736,37900,31900,1
The Master's University and Seminary,Santa Clarita,CA,91321-1200,Western Association of Schools and Colleges Senior Colleges and University Commission,www.masters.edu,https://www.masters.edu/financial-aid/total-cost-calculator,3,0,1,1,3,4,2,6,8,21,NULL,34.381755,-118.518193,46764,NULL,25390,25390,NULL,13486,52100,41700,2
Los Angeles City College,Los Angeles,CA,90029,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.lacitycollege.edu/,www.lacitycollege.edu/services/finaid/tuition-fees.html,1,0,1,1,1,2,1,6,8,11,NULL,34.087301,-118.292169,12362,NULL,1220,7746,NULL,844,33100,26700,1
Los Angeles Mission College,Sylmar,CA,91342-3200,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.lamission.edu,https://misweb.cccco.edu/npc/743/npcalc.htm,2,0,1,1,2,2,1,6,8,11,NULL,34.314668,-118.4195,15149,NULL,1220,7746,NULL,600,37000,32600,1
Los Medanos College,Pittsburg,CA,94565,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,https://www.losmedanos.edu/,https://misweb.cccco.edu/npc/313/npcalc.htm,2,0,1,1,2,2,1,6,8,21,NULL,38.006474,-121.860967,11666,NULL,1312,8564,NULL,673,44000,34900,1
Loyola Marymount University,Los Angeles,CA,90045-2659,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.lmu.edu,https://lmu.studentaidcalculator.com/survey.aspx,3,0,1,1,3,4,2,6,8,11,NULL,33.97085,-118.415744,64484,NULL,48522,48522,NULL,33429,71600,61300,2
College of Marin,Kentfield,CA,94904-2590,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.marin.edu,www.marin.edu/financial_aid/NetPriceCalculator/npcalc.htm,2,0,1,1,2,2,1,6,8,21,NULL,37.954897,-122.549149,14464,NULL,1492,9712,NULL,1612,42800,33700,1
Marymount California University,Rancho Palos Verdes,CA,90275-6299,Western Association of Schools and Colleges Senior Colleges and University Commission,www.marymountcalifornia.edu/,www.marymountcalifornia.edu/financial-aid/net-price-calculator,3,0,1,3,2,4,2,6,8,21,NULL,33.734887,-118.333371,51254,NULL,36134,36134,NULL,20966,42000,35900,2
Mendocino College,Ukiah,CA,95482,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.mendocino.edu,misweb.cccco.edu/npc/141/npcalc.htm,2,0,1,1,2,2,1,6,8,41,NULL,39.188989,-123.228809,14230,NULL,1423,7783,NULL,575,31800,26300,1
Menlo College,Atherton,CA,94027-4301,Western Association of Schools and Colleges Senior Colleges and University Commission,www.menlo.edu,www.menlo.edu/NetPrice/npcalc.htm,3,0,1,1,3,3,2,6,8,21,NULL,37.453475,-122.190797,57546,NULL,42800,42800,NULL,18298,59700,50900,2
Merced College,Merced,CA,95348-2898,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.mccd.edu,https://misweb.cccco.edu/npc/531/npcalc.htm,2,0,1,1,2,2,1,6,8,13,NULL,37.3353,-120.476464,15508,NULL,1150,6115,NULL,648,31100,27000,1
Merritt College,Oakland,CA,94619-3196,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.merritt.edu,https://misweb.cccco.edu/npc/344/npcalc.htm,1,0,1,1,1,2,1,6,8,11,NULL,37.789088,-122.167335,15569,NULL,1254,7806,NULL,1109,41500,32600,1
Mills College,Oakland,CA,94613,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.mills.edu,https://tcc.noellevitz.com/(S(4bgxyozk2ejy4wajqx3hoapx))/Mills%20College/Freshman-Students,3,0,1,1,3,4,2,6,8,11,NULL,37.781425,-122.182294,63047,NULL,30257,30257,NULL,19045,49500,39900,2
MiraCosta College,Oceanside,CA,92056-3899,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.miracosta.edu,https://misweb.cccco.edu/npc/051/npcalc.htm,1,0,1,2,1,2,1,6,8,21,NULL,33.190483,-117.302606,10578,NULL,1336,6768,NULL,1467,34300,28900,1
Mission College,Santa Clara,CA,95054-1897,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.missioncollege.edu/,https://misweb.cccco.edu/npc/492/npcalc.htm,2,0,1,1,2,2,1,6,8,12,NULL,37.391935,-121.980783,15287,NULL,1192,6280,NULL,1561,42700,34500,1
Modesto Junior College,Modesto,CA,95350-5800,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.mjc.edu,misweb.cccco.edu/npc/592/npcalc.htm,2,0,1,1,2,2,1,6,8,12,NULL,37.651056,-121.009792,15099,NULL,1166,7358,NULL,533,36100,30800,1
Monterey Peninsula College,Monterey,CA,93940-4799,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.mpc.edu,www.mpc.edu/financial-aid/getting-started/net-price-calculator,2,0,1,1,2,2,1,6,8,22,NULL,36.590558,-121.884931,14342,NULL,1176,7368,NULL,1009,39500,31900,1
Moorpark College,Moorpark,CA,93021-1695,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.moorparkcollege.edu/index.shtml,www.moorparkcollege.edu/services_for_students/financial_aid/index.shtml,2,0,1,1,2,2,1,6,8,22,NULL,34.301146,-118.834528,8543,NULL,1388,7050,NULL,958,47000,38600,1
Mt San Antonio College,Walnut,CA,91789-1399,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.mtsac.edu,www.mtsac.edu/financialaid/resources/npcalc.html,2,0,1,1,2,2,1,6,8,21,NULL,34.047764,-117.846629,10161,NULL,1350,9414,NULL,975,41400,35000,1
Mount Saint Mary's University,Los Angeles,CA,90049-1599,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.msmu.edu,https://www.msmu.edu/academics/financial-aid/cost-calculator.aspx,3,0,1,2,3,4,2,6,8,11,NULL,34.085315,-118.482879,54912,NULL,41170,41170,NULL,24643,63500,53200,2
Mt San Jacinto Community College District,San Jacinto,CA,92583-2399,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.msjc.edu,www.msjc.edu/StudentServices/FinancialAid/Pages/default.aspx,2,0,1,1,2,2,1,6,8,22,NULL,33.806748,-116.971169,11773,NULL,1386,10026,NULL,511,34800,28800,1
Musicians Institute,Hollywood,CA,90028,National Association of Schools of Music,www.mi.edu,mi.edu/student-consumer-disclosure/net-price-calculator/,1,0,1,1,1,3,3,6,8,11,NULL,34.101265,-118.337582,41012,NULL,24030,24030,NULL,24170,36900,30100,3
Napa Valley College,Napa,CA,94558-6236,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.napavalley.edu,https://misweb.cccco.edu/npc/241/npcalc.htm,2,0,1,1,2,2,1,6,8,13,NULL,38.274081,-122.274381,18168,NULL,1142,6758,NULL,947,46500,37000,1
Newschool of Architecture and Design,San Diego,CA,92101,Western Association of Schools and Colleges Senior Colleges and University Commission,www.newschoolarch.edu,newschoolarch.edu/admissions/tuition-and-fees/net-price-calculator-2015/,3,0,1,1,3,4,3,6,8,11,NULL,32.71331,-117.153305,43082,NULL,27501,27501,NULL,15557,55100,49400,3
Notre Dame de Namur University,Belmont,CA,94002-1908,Western Association of Schools and Colleges Senior Colleges and University Commission,www.ndnu.edu,www.ndnu.edu/financial-aid/net-price-calculator/,3,0,1,1,3,4,2,6,8,21,NULL,37.517111,-122.284794,52143,NULL,35350,35350,NULL,18765,63900,56400,2
Occidental College,Los Angeles,CA,90041-3392,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.oxy.edu,https://apps.oxy.edu/finaidcalc/,3,0,1,1,3,3,2,6,8,11,NULL,34.127124,-118.210908,71756,NULL,54686,54686,NULL,29134,59400,50600,2
Ohlone College,Fremont,CA,94539-0390,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.ohlone.edu,https://misweb.cccco.edu/npc/431/npcalc.htm,2,0,1,1,2,2,1,6,8,21,NULL,37.52773,-121.916339,16540,NULL,1164,6828,NULL,1675,47700,38900,1
Orange Coast College,Costa Mesa,CA,92626,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.orangecoastcollege.edu/,misweb.cccco.edu/npc/833/npcalc.htm,1,0,1,1,1,2,1,6,8,12,NULL,33.66927,-117.909086,11524,NULL,1186,7978,NULL,1161,43900,38100,1
Otis College of Art and Design,Los Angeles,CA,90045-3505,Western Association of Schools and Colleges Senior Colleges and University Commission,www.otis.edu,www.otis.edu/otis-net-price-calculator,3,0,1,1,3,4,2,6,8,11,NULL,33.956607,-118.416615,61776,NULL,46860,46860,NULL,33696,52400,44900,2
Oxnard College,Oxnard,CA,93033-6699,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.oxnardcollege.edu,www.oxnardcollege.edu/departments/student_services/financial_aid/index.shtml,2,0,1,1,2,2,1,6,8,12,NULL,34.166104,-119.157604,8458,NULL,1388,7050,NULL,240,34000,31000,1
Hope International University,Fullerton,CA,92831-3199,Western Association of Schools and Colleges Senior Colleges and University Commission,www.hiu.edu,www.hiu.edu/undergrad/finaid/,3,0,1,2,3,4,2,6,8,21,NULL,33.87616,-117.88573,42424,NULL,33400,33400,NULL,12251,40700,36000,2
Pacific Union College,Angwin,CA,94508-9707,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.puc.edu,https://puc.studentaidcalculator.com/survey.aspx,3,0,1,1,3,3,2,6,8,41,NULL,38.570585,-122.440308,42620,NULL,30060,30060,NULL,16868,61700,51700,2
University of the Pacific,Stockton,CA,95211-0197,Western Association of Schools and Colleges Senior Colleges and University Commission,www.pacific.edu,https://pacific.studentaidcalculator.com/survey.aspx,3,0,1,1,3,4,2,6,8,11,NULL,37.981424,-121.312301,60487,NULL,48164,48164,NULL,32936,84200,71700,2
Palo Verde College,Blythe,CA,92225,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.paloverde.edu,https://misweb.cccco.edu/npc/951/npcalc.htm,1,0,1,1,1,2,1,6,8,42,NULL,33.661538,-114.651698,14670,NULL,1288,9120,NULL,429,30300,22900,1
Palomar College,San Marcos,CA,92069-1487,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www2.palomar.edu/,https://misweb.cccco.edu/npc/061/npcalc.htm,1,0,1,1,1,2,1,6,8,21,NULL,33.149483,-117.183978,11440,NULL,1338,8702,NULL,1036,40300,34400,1
Pasadena City College,Pasadena,CA,91106-2003,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,pasadena.edu/,https://misweb.cccco.edu/npc/771/npcalc.htm,2,0,1,1,2,2,1,6,8,12,NULL,34.144552,-118.118196,12350,NULL,1166,7548,NULL,1401,39300,33800,1
Pepperdine University,Malibu,CA,90263,Western Association of Schools and Colleges Senior Colleges and University Commission,www.pepperdine.edu/,https://seaver.pepperdine.edu/admission/financial-aid/undergraduate/npc/,3,0,1,1,3,4,2,6,8,21,NULL,34.037786,-118.707077,70862,NULL,53932,53932,NULL,31625,77600,65500,2
Pitzer College,Claremont,CA,91711-6101,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.pitzer.edu,https://npc.collegeboard.org/student/app/pitzer,3,0,1,1,3,3,2,6,8,21,NULL,34.104107,-117.706675,70500,NULL,54056,54056,NULL,50757,51500,48700,2
Platt College-San Diego,San Diego,CA,92115-3919,Accrediting Commission of Career Schools and Colleges,www.platt.edu,www.platt.edu,2,0,1,1,2,3,3,6,8,11,NULL,32.76373,-117.063483,33180,NULL,17235,17235,NULL,21641,44800,37000,3
Point Loma Nazarene University,San Diego,CA,92106-2899,Western Association of Schools and Colleges Senior Colleges and University Commission,www.pointloma.edu,www.pointloma.edu/NPC,3,0,1,1,3,4,2,6,8,11,NULL,32.718391,-117.250265,49512,NULL,35700,35700,NULL,21015,54400,50900,2
Pomona College,Claremont,CA,91711-6319,Western Association of Schools and Colleges Senior Colleges and University Commission,www.pomona.edu,https://npc.collegeboard.org/student/app/pomona,3,0,1,1,3,3,2,6,8,21,NULL,34.099027,-117.714556,69725,NULL,52780,52780,NULL,22245,77300,58100,2
Porterville College,Porterville,CA,93257,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.portervillecollege.edu,https://misweb.cccco.edu/npc/523/npcalc.htm,2,0,1,1,2,2,1,6,8,23,NULL,36.049256,-119.014368,11912,NULL,1322,7286,NULL,366,32700,27700,1
Santa Ana College,Santa Ana,CA,92706-3398,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.sac.edu,https://misweb.cccco.edu/npc/871/npcalc.htm,2,0,1,1,1,2,1,6,8,11,NULL,33.759309,-117.887558,11573,NULL,1160,8960,NULL,728,39400,33800,1
University of Redlands,Redlands,CA,92373-0999,Western Association of Schools and Colleges Senior Colleges and University Commission,www.redlands.edu,www.redlands.edu/npc,3,0,1,1,3,4,2,6,8,13,NULL,34.064218,-117.163218,65220,NULL,49504,49504,NULL,18560,57700,55000,2
College of the Redwoods,Eureka,CA,95501-9300,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.redwoods.edu,www.redwoods.edu/financialaid/Cost,2,0,1,1,2,2,1,6,8,41,NULL,40.698427,-124.195293,11359,NULL,1182,6822,NULL,968,32700,28100,1
Rio Hondo College,Whittier,CA,90601-1616,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.riohondo.edu,www.riohondo.edu/financial-aid/,2,0,1,1,1,2,1,6,8,21,NULL,34.019821,-118.033506,11660,NULL,1360,6624,NULL,684,40500,35100,1
Riverside City College,Riverside,CA,92506,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.rcc.edu/riverside/,misweb.cccco.edu/npc/961/npcalc.htm,2,0,1,1,2,2,1,6,8,11,NULL,33.970918,-117.384323,13263,NULL,1420,9160,NULL,742,37200,31600,1
Sacramento City College,Sacramento,CA,95822-1386,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,https://www.scc.losrios.edu/,https://misweb.cccco.edu/npc/233/npcalc.htm,2,0,1,1,2,2,1,6,8,11,NULL,38.541096,-121.491139,12575,NULL,1104,8712,NULL,713,40700,34300,1
Saddleback College,Mission Viejo,CA,92692-3635,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.saddleback.edu,misweb.cccco.edu/npc/891/npcalc.htm,1,0,1,1,1,2,1,6,8,21,NULL,33.553346,-117.665584,13605,NULL,1328,9392,NULL,1863,46000,38700,1
San Diego City College,San Diego,CA,92101-4787,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.sdcity.edu/,misweb.cccco.edu/npc/071/npcalc.htm,2,0,1,1,1,2,1,6,8,11,NULL,32.717403,-117.152733,13223,NULL,1144,7024,NULL,674,34700,29200,1
San Diego Mesa College,San Diego,CA,92111-4998,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.sdmesa.edu/,https://misweb.cccco.edu/npc/072/npcalc.htm,2,0,1,1,2,2,1,6,8,11,NULL,32.803825,-117.169165,12638,NULL,1144,7024,NULL,574,43100,37800,1
San Diego Miramar College,San Diego,CA,92126-2999,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.sdmiramar.edu,https://misweb.cccco.edu/npc/073/npcalc.htm,2,0,1,1,2,2,1,6,8,11,NULL,32.909757,-117.120261,12995,NULL,1144,7024,NULL,584,44400,39300,1
San Diego State University,San Diego,CA,92182-0001,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sdsu.edu,https://www2.calstate.edu/attend/paying-for-college/pages/csu-costs.aspx,3,0,1,2,3,4,1,6,8,11,NULL,32.77525,-117.071228,22990,NULL,7488,19340,NULL,6737,55900,51000,1
University of San Diego,San Diego,CA,92110-2492,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sandiego.edu,www.sandiego.edu/admissions/undergraduate/tuition-financial-aid/net-price-calculator.php,3,0,1,1,3,4,2,6,8,11,NULL,32.770816,-117.192073,64732,NULL,49358,49358,NULL,29223,71100,60000,2
San Francisco Art Institute,San Francisco,CA,94133-2299,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sfai.edu,https://webadvisor.sfai.edu:8443/NetPriceCalculator/index.html,3,0,1,1,3,4,2,6,8,11,NULL,37.803575,-122.417,69525,NULL,46534,46534,NULL,28863,38600,31900,2
San Francisco Conservatory of Music,San Francisco,CA,94102-6011,Western Association of Schools and Colleges Senior Colleges and University Commission,https://sfcm.edu,https://sfcm.edu/admissions/cost-aid/tuition-fees,3,0,1,1,1,4,2,6,8,11,NULL,37.775543,-122.420292,65045,NULL,46210,46210,NULL,23328,30800,19700,2
San Francisco State University,San Francisco,CA,94132,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sfsu.edu,financialaid.sfsu.edu/NPC/npcalc,3,0,1,1,3,4,1,6,8,11,NULL,37.721224,-122.476799,24434,NULL,7260,19140,NULL,5482,54700,49200,1
University of San Francisco,San Francisco,CA,94117-1080,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.usfca.edu,https://www.usfca.edu/admission/financial-aid/net-price-calculator,3,0,1,1,3,4,2,6,8,11,NULL,37.776618,-122.450477,65185,NULL,48066,48066,NULL,28022,74000,62300,2
San Joaquin Delta College,Stockton,CA,95207,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.deltacollege.edu/,https://www.deltacollege.edu/student-services/financial-aid-and-scholarships/cost-estimates/net-price-calculator,2,0,1,2,2,2,1,6,8,11,NULL,37.995129,-121.318266,18106,NULL,1288,8848,NULL,572,36600,30800,1
William Jessup University,Rocklin,CA,95765-3707,Western Association of Schools and Colleges Senior Colleges and University Commission,WWW.JESSUP.EDU,www.jessup.edu/financial-aid/undergraduate/#tab_undergrad-net-price-calculator,3,0,1,1,3,4,2,6,8,41,NULL,38.819728,-121.292312,44800,NULL,33550,33550,NULL,15084,45100,37300,2
San Jose City College,San Jose,CA,95128-2798,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.sjcc.edu,https://misweb.cccco.edu/npc/472/npcalc.htm,1,0,1,1,2,2,1,6,8,11,NULL,37.315827,-121.926185,17967,NULL,1358,7994,NULL,1157,37600,31400,1
San Jose State University,San Jose,CA,95192-0001,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sjsu.edu,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,3,0,1,1,3,4,1,6,8,11,NULL,37.336569,-121.880621,24514,NULL,7796,19676,NULL,6385,63800,56100,1
College of San Mateo,San Mateo,CA,94402-3784,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.collegeofsanmateo.edu,https://misweb.cccco.edu/npc/372/npcalc.htm,1,0,1,1,2,2,1,6,8,12,NULL,37.535698,-122.334801,9316,NULL,1344,6300,NULL,1295,47900,40700,1
Santa Barbara Business College-Bakersfield,Bakersfield,CA,93309,Accrediting Council for Independent Colleges and Schools,sbbcollege.edu,cloud.sbbcollege.edu/npc/npc_bkrm.htm,2,0,1,1,2,3,3,6,8,11,NULL,35.359544,-119.061264,22729,NULL,11658,11658,NULL,15659,27900,24800,3
Santa Barbara Business College-Santa Maria,Santa Maria,CA,93454,Accrediting Commission of Career Schools and Colleges,sbbcollege.edu,cloud.sbbcollege.edu/npc/npc_sm.htm,2,0,1,1,2,3,3,6,8,12,NULL,34.937806,-120.433296,22429,NULL,11658,11658,NULL,14214,29100,29400,3
Santa Barbara City College,Santa Barbara,CA,93109-2394,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.sbcc.edu,https://misweb.cccco.edu/npc/651/npcalc.htm,2,0,1,1,2,2,1,6,8,13,NULL,34.406788,-119.698045,15223,NULL,1374,8326,NULL,2186,42800,36800,1
Santa Clara University,Santa Clara,CA,95053,Western Association of Schools and Colleges Senior Colleges and University Commission,www.scu.edu,https://www.scu.edu/financialaid/Net-Price-Calculator.cfm,3,0,1,2,3,4,2,6,8,12,NULL,37.348362,-121.93784,69155,NULL,51711,51711,NULL,32521,85300,72600,2
Santa Monica College,Santa Monica,CA,90405-1628,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.smc.edu,https://misweb.cccco.edu/npc/781/npcalc.htm,2,0,1,1,2,3,1,6,8,13,NULL,34.017022,-118.469765,11458,NULL,1142,8918,NULL,2934,40200,33000,1
Santa Rosa Junior College,Santa Rosa,CA,95401-4395,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.santarosa.edu,https://misweb.cccco.edu/npc/261/npcalc.htm,1,0,1,1,1,2,1,6,8,12,NULL,38.45709,-122.718974,13740,NULL,1328,8174,NULL,1272,42800,35700,1
Scripps College,Claremont,CA,91711-3905,Western Association of Schools and Colleges Senior Colleges and University Commission,www.scrippscollege.edu,https://npc.collegeboard.org/student/app/scrippscollege,3,0,1,1,3,4,2,6,8,21,NULL,34.104147,-117.711294,71060,NULL,55024,55024,NULL,36851,61800,54100,2
College of the Sequoias,Visalia,CA,93277-2214,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.cos.edu,www.cos.edu/FinancialAid/NetPriceCalculator/Pages/default.aspx,2,0,1,1,2,2,1,6,8,12,NULL,36.323877,-119.315182,8453,NULL,1390,7690,NULL,482,33100,27400,1
Shasta College,Redding,CA,96003,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.shastacollege.edu,https://misweb.cccco.edu/npc/171/npcalc.htm,2,0,1,1,2,3,1,6,8,22,NULL,40.625731,-122.317982,11875,NULL,1185,6801,NULL,846,34100,27500,1
Sierra College,Rocklin,CA,95677-3397,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,https://www.sierracollege.edu,https://misweb.cccco.edu/npc/271/npcalc.htm,2,0,1,1,2,2,1,6,8,21,NULL,38.790773,-121.211688,11451,NULL,1144,6214,NULL,1212,37800,30700,1
Simpson University,Redding,CA,96003-8606,Western Association of Schools and Colleges Senior Colleges and University Commission,www.simpsonu.edu,https://simpsonu.studentaidcalculator.com/survey.aspx,3,0,1,1,3,4,2,6,8,13,NULL,40.61334,-122.332981,39946,NULL,30200,30200,NULL,15211,39900,34500,2
College of the Siskiyous,Weed,CA,96094-2899,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.siskiyous.edu,https://misweb.cccco.edu/npc/181/npcalc.htm,2,0,1,1,2,2,1,6,8,33,NULL,41.413005,-122.38909,14455,NULL,1156,7348,NULL,1606,32000,25900,1
Skyline College,San Bruno,CA,94066-1698,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,skylinecollege.edu,https://misweb.cccco.edu/npc/373/npcalc.htm,2,0,1,1,2,3,1,6,8,21,NULL,37.63042,-122.467335,8488,NULL,1461,8241,NULL,1313,45600,40500,1
San Bernardino Valley College,San Bernardino,CA,92410-2798,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.valleycollege.edu,https://misweb.cccco.edu/npc/982/npcalc.htm,2,0,1,1,2,2,1,6,8,12,NULL,34.086353,-117.313248,14130,NULL,1238,5500,NULL,602,32000,27300,1
Saint Mary's College of California,Moraga,CA,94575,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.stmarys-ca.edu,https://www.stmarys-ca.edu/admissions-aid/net-price-calculator,3,0,1,1,3,4,2,6,8,21,NULL,37.840731,-122.109031,65419,NULL,47280,47280,NULL,22631,63600,56300,2
Solano Community College,Fairfield,CA,94534-3197,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.solano.edu,https://misweb.cccco.edu/npc/281/npcalc.htm,2,0,1,1,2,2,1,6,8,22,NULL,38.235881,-122.122368,13073,NULL,1140,6324,NULL,703,40500,34800,1
Sonoma State University,Rohnert Park,CA,94928-3609,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sonoma.edu,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,3,0,1,1,3,4,1,6,8,21,NULL,38.340274,-122.677066,24914,NULL,7798,19678,NULL,5615,53200,49200,1
South Coast College,Orange,CA,92868-2609,Accrediting Commission of Career Schools and Colleges,www.SOUTHCOASTCOLLEGE.EDU,www.southcoastcollege.edu/netcalc/,1,0,1,1,1,2,3,6,8,12,NULL,33.78818,-117.874031,24156,NULL,12665,12665,NULL,6472,35000,32300,3
Vanguard University of Southern California,Costa Mesa,CA,92626,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.vanguard.edu,https://www.vanguard.edu/admissions/net-price-calculator,3,0,1,1,3,4,2,6,8,12,NULL,33.662686,-117.900911,44768,NULL,33720,33720,NULL,16707,48800,41800,2
Southwestern College,Chula Vista,CA,91910-7299,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,https://www.swccd.edu,https://misweb.cccco.edu/npc/091/npcalc.htm,2,0,1,1,2,2,1,6,8,11,NULL,32.640281,-116.996803,11414,NULL,1338,6602,NULL,412,34700,30800,1
Southern California Institute of Architecture,Los Angeles,CA,90013-1822,Western Association of Schools and Colleges Senior Colleges and University Commission,www.sciarc.edu,www.sciarc.edu/admissions/financial-aid/cost-to-attend,3,0,1,1,3,4,2,6,8,11,NULL,34.044215,-118.232799,67638,NULL,44960,44960,NULL,30865,44200,43100,2
University of Southern California,Los Angeles,CA,90089,Western Association of Schools and Colleges Senior Colleges and University Commission,www.usc.edu/,esdweb.esd.usc.edu/npc/,3,0,1,1,3,4,2,6,8,11,NULL,34.021281,-118.284169,72097,NULL,56225,56225,NULL,37039,88800,74000,2
Taft College,Taft,CA,93268,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.taftcollege.edu,https://misweb.cccco.edu/npc/691/npcalc.htm,2,0,1,1,2,2,1,6,8,32,NULL,35.149343,-119.459751,14567,NULL,1410,8430,NULL,327,39000,31800,1
Thomas Aquinas College,Santa Paula,CA,93060,Western Association of Schools and Colleges Senior Colleges and University Commission,https://thomasaquinas.edu,https://thomasaquinas.edu/admission/net-price-calculator-financial-aid-calculator,3,0,1,1,3,3,2,6,8,42,NULL,34.429009,-119.087141,35786,NULL,25000,25000,NULL,15108,45900,42100,2
Epic Bible College,Sacramento,CA,95841,Transnational Association of Christian Colleges and Schools,EPIC.edu,epic.edu/financial/netpricecalculator/,2,0,1,1,2,4,2,6,8,21,NULL,38.645152,-121.362642,25415,NULL,9689,9689,NULL,12404,32600,25100,2
Ventura College,Ventura,CA,93003-3872,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,www.venturacollege.edu/,www.venturacollege.edu/departments/student_services/financial_aid/index.shtml,2,0,1,1,2,2,1,6,8,12,NULL,34.277393,-119.230604,8563,NULL,1388,7050,NULL,593,39800,33800,1
